CVE;advisory name;advisory URL;unknown PoC;Github PoC;Curl PoC;XML PoC;
CVE-2024-6961;SNYK-PYTHON-GUARDRAILSAI-7547137;https://security.snyk.io/vuln/SNYK-PYTHON-GUARDRAILSAI-754713;no;no;no;yes;
CVE-2024-6717;SNYK-GOLANG-GITHUBCOMHASHICORPNOMADCLIENTALLOCWATCHER-7548221;https://security.snyk.io/vuln/SNYK-GOLANG-GITHUBCOMHASHICORPNOMADCLIENTALLOCWATCHER-754822;no;no;yes;no;
CVE-2024-5979;SNYK-JAVA-AIH2O-7413594;https://security.snyk.io/vuln/SNYK-JAVA-AIH2O-741359;no;no;yes;no;
CVE-2024-5979;SNYK-JAVA-AIH2O-7413593;https://security.snyk.io/vuln/SNYK-JAVA-AIH2O-741359;no;no;yes;no;
CVE-2024-5273;SNYK-JAVA-ORGJENKINSCIPLUGINS-7116662;https://security.snyk.io/vuln/SNYK-JAVA-ORGJENKINSCIPLUGINS-711666;no;no;yes;no;
CVE-2024-5182;SNYK-GOLANG-GITHUBCOMMUDLERLOCALAIPKGMODEL-7315129;https://security.snyk.io/vuln/SNYK-GOLANG-GITHUBCOMMUDLERLOCALAIPKGMODEL-731512;no;no;yes;no;
CVE-2024-5182;SNYK-GOLANG-GITHUBCOMGOSKYNETLOCALAIPKGMODEL-7315130;https://security.snyk.io/vuln/SNYK-GOLANG-GITHUBCOMGOSKYNETLOCALAIPKGMODEL-731513;no;no;yes;no;
CVE-2024-5154;SNYK-GOLANG-GITHUBCOMCRIOCRIOSERVER-7210310;https://security.snyk.io/vuln/SNYK-GOLANG-GITHUBCOMCRIOCRIOSERVER-721031;no;no;yes;no;
CVE-2024-4956;SNYK-JAVA-ORGSONATYPENEXUS-6861919;https://security.snyk.io/vuln/SNYK-JAVA-ORGSONATYPENEXUS-686191;no;no;yes;no;
CVE-2024-4941;SNYK-PYTHON-GRADIO-7217834;https://security.snyk.io/vuln/SNYK-PYTHON-GRADIO-721783;no;no;yes;no;
CVE-2024-4890;SNYK-PYTHON-LITELLM-7218854;https://security.snyk.io/vuln/SNYK-PYTHON-LITELLM-721885;no;no;yes;no;
CVE-2024-43395;SNYK-UNMANAGED-MCJACK123CRAFTOS2-7707750;https://security.snyk.io/vuln/SNYK-UNMANAGED-MCJACK123CRAFTOS2-770775;no;no;yes;no;
